id,first_name,last_name,email,gender,date_of_birth,study,ganghood,sport,graduation_year
118-6428,Letitia,WHITWAM,lwhitwam@uni.edu,Male,14/11/1998,Litterature & Linguistics,Delta Magnus,,2024
115-5616,Zebulen,STEANE,zsteane@uni.edu,Male,29/11/1998,IT,,,2023
111-8392,Granger,MACNAMARA,gmacnamara@uni.edu,Female,12/09/1996,Psychology,,Cheerleading,2022
115-4616,Clark,TRAITE,ctraite@uni.edu,Female,26/07/1997,Gastronomy,Tau Picore,,2023
111-9175,Daile,SUGGE,dsugge@uni.edu,Male,15/10/1998,Medicine,,,2023
115-2655,Prudence,JANIAK,pjaniak@uni.edu,Female,30/07/1996,Medicine,,,2024
119-3971,Gustie,DABS,gdabs@uni.edu,Female,16/08/1996,Tourism & Catering,,Swimming,2024
119-3304,Hervey,GLASSOPP,hglassopp@uni.edu,Female,22/08/1996,Agronomy,,Soccer,2024
118-3890,Kellsie,PARCELLS,kparcells@uni.edu,Female,26/02/1998,Litterature & Linguistics,,,2024
112-3765,Dante,KENDRED,dkendred@uni.edu,Female,22/11/1997,Art & Culture,,Tennis,2022
115-7099,Kyle,WYLDBORE,kwyldbore@uni.edu,Female,13/04/1997,Business Administration,,,2022
113-4646,Krystal,MCMILLIAN,kmcmillian@uni.edu,Female,09/11/1996,Architecture,,,2024
117-2546,Saxe,LARTER,slarter@uni.edu,Female,25/07/1998,Business Administration,,,2022
119-8789,Gardy,SKELDING,gskelding@uni.edu,Male,02/04/1997,Gastronomy,,,2022
114-4794,Rosie,GROCOTT,rgrocott@uni.edu,Polygender,16/06/1998,Engineering,,Swimming,2023
111-8068,Edd,CAGAN,ecagan@uni.edu,Male,14/06/1997,Litterature & Linguistics,,Gymnastics,2022
119-4662,Aeriela,JESTE,ajeste@uni.edu,Male,29/10/1996,IT,,,2023
115-4855,Matteo,GOUNARD,mgounard@uni.edu,Female,07/07/1996,Art & Culture,Kappa Xi,,2022
119-1750,Clemmie,HEADEY,cheadey@uni.edu,Male,15/09/1996,Art & Culture,,,2023
116-4153,Daffi,EMBRA,dembra@uni.edu,Female,03/01/1996,Finance,,,2023
113-1982,Buck,MINOT,bminot@uni.edu,Agender,04/03/1998,Art & Culture,,,2022
114-7742,Tabina,WING,twing@uni.edu,Male,19/09/1996,Architecture,,Football,2023
112-4553,Stephana,MASARRAT,smasarrat@uni.edu,Bigender,09/02/1996,Journalism,,,2022
118-4303,Alyda,MELLER,ameller@uni.edu,Male,06/04/1996,IT,,,2022
116-3083,Bird,GERRELTS,bgerrelts@uni.edu,Female,29/10/1997,Architecture,Kappa Xi,,2022
118-6032,Jackqueline,CATTINI,jcattini@uni.edu,Female,09/12/1996,Litterature & Linguistics,,,2022
116-3134,Alikee,SHADDOCK,ashaddock@uni.edu,Male,28/04/1997,Journalism,,,2022
119-6098,Milka,GARSTAN,mgarstan@uni.edu,Male,30/04/1998,Medicine,,,2022
117-7471,Annaliese,COOPEY,acoopey@uni.edu,Male,24/04/1997,Engineering,,,2023
118-1169,Thomasine,IVANIKHIN,tivanikhin@uni.edu,Male,17/05/1997,Gastronomy,,Soccer,2024
118-5122,Silas,VIGURS,svigurs@uni.edu,Male,05/12/1998,IT,,Tennis,2023
119-4386,Cullie,MCBREARTY,cmcbrearty@uni.edu,Male,02/10/1997,Medicine,,,2022
117-1504,Bjorn,SAZIO,bsazio@uni.edu,Female,13/05/1997,Physics,,,2024
115-2700,Dominica,MATTHEWS,dmatthews@uni.edu,Female,11/07/1997,Journalism,,,2024
114-4003,Katherina,KINGDON,kkingdon@uni.edu,Female,06/05/1996,Gastronomy,,,2022
112-6675,Cy,WHAPPLES,cwhapples@uni.edu,Female,02/08/1998,Gastronomy,,Hockey,2022
112-7501,Julie,ESELER,jeseler@uni.edu,Female,23/04/1998,Tourism & Catering,,,2022
119-2093,Griffith,DRINAN,gdrinan@uni.edu,Female,03/09/1997,Psychology,Tau Picore,,2023
111-7998,Carry,POTTEN,cpotten@uni.edu,Female,14/02/1996,Art & Culture,,,2023
114-4775,Rhianon,SOLLEY,rsolley@uni.edu,Female,04/09/1996,Litterature & Linguistics,,Cheerleading,2023
117-1366,Bella,CLEMITS,bclemits@uni.edu,Female,04/05/1998,Biotechnology,,,2022
118-2244,Helen,WOODWARD,hwoodward@uni.edu,Female,06/05/1996,Journalism,,,2023
111-6095,Don,RIDDOCK,driddock@uni.edu,Male,25/06/1997,Computer Science,,Track & Field,2022
113-9594,Laurianne,GRAFFHAM,lgraffham@uni.edu,Male,19/04/1997,Physics,,,2022
111-1005,Maura,REDDINGTON,mreddington@uni.edu,Male,12/12/1997,Litterature & Linguistics,,Basketball,2023
114-4718,Marcello,GIMENO,mgimeno@uni.edu,Genderqueer,07/09/1998,Chemistry,,,2023
112-5826,Hector,FOUND,hfound@uni.edu,Female,02/09/1998,Chemistry,,,2022
119-4151,Hammad,TURMALL,hturmall@uni.edu,Female,15/12/1998,Tourism & Catering,,Rowing,2023
112-7522,Ingrim,WALSHAM,iwalsham@uni.edu,Female,31/03/1996,Psychology,,,2022
115-5270,Justus,TREWEELA,jtreweela@uni.edu,Female,28/11/1996,Psychology,,,2022
116-1174,Casey,BERWICK,cberwick@uni.edu,Female,05/11/1996,IT,,,2022
118-1136,Bryon,BANGLE,bbangle@uni.edu,Male,10/08/1998,Art & Culture,,,2022
115-9672,Ashlan,HAMMEL,ahammel@uni.edu,Male,23/06/1997,Tourism & Catering,,Volleyball,2022
113-1933,Leonie,STANLICK,lstanlick@uni.edu,Male,24/10/1998,Medicine,Zeta Omega,Basketball,2024
118-7656,Gavin,SKAINS,gskains@uni.edu,Female,10/01/1996,History,,,2024
116-1730,Blinny,SACCO,bsacco@uni.edu,Female,22/06/1997,Medicine,,Tennis,2023
118-7393,Jolynn,CATLING,jcatling@uni.edu,Female,19/06/1998,Medicine,,,2023
114-4816,Thatcher,PFEFFER,tpfeffer@uni.edu,Female,24/03/1996,Law,,Swimming,2024
113-5976,Luce,FOLINI,lfolini@uni.edu,Female,27/08/1997,Chemistry,,,2023
116-3383,Roman,TOWNSON,rtownson@uni.edu,Female,14/11/1998,Chemistry,Beta Mu,,2024
112-3165,Hadrian,CHIPPINDALE,hchippindale@uni.edu,Male,23/05/1996,Finance,,,2022
112-1982,Quill,ROSIELLO,qrosiello@uni.edu,Male,07/04/1998,Gastronomy,,,2024
113-7618,Armando,SCHIMKE,aschimke@uni.edu,Male,22/10/1997,Law,,Basketball,2022
114-2684,Odette,LEMERY,olemery@uni.edu,Female,20/07/1997,Medicine,,,2023
116-4889,Flemming,BRUMBYE,fbrumbye@uni.edu,Female,26/04/1997,Tourism & Catering,,,2022
114-6062,Hortensia,CARGON,hcargon@uni.edu,Female,21/03/1996,Gastronomy,,Rowing,2022
113-6296,Malcolm,LEEHANE,mleehane@uni.edu,Female,24/10/1997,Tourism & Catering,,Soccer,2024
119-7972,Joli,WEMM,jwemm@uni.edu,Female,19/07/1997,Law,,Hockey,2023
118-8128,Francine,DIGNAM,fdignam@uni.edu,Female,15/09/1996,Computer Science,,Soccer,2023
113-5127,Edita,CUND,ecund@uni.edu,Female,08/01/1997,Business Administration,,,2022
115-3377,Ray,DI ANTONIO,rdiantonio@uni.edu,Female,03/02/1997,Biotechnology,,,2022
118-6975,Graeme,SISLAND,gsisland@uni.edu,Female,31/05/1997,Tourism & Catering,,Basketball,2023
115-4725,Mandi,BEDHAM,mbedham@uni.edu,Male,29/09/1998,Chemistry,,,2022
114-6252,Kaycee,KOLLACH,kkollach@uni.edu,Female,30/06/1996,Mathematics,,Rowing,2023
118-3877,Darcy,MCDELL,dmcdell@uni.edu,Female,09/10/1998,History,,Cheerleading,2023
118-8862,Meade,NORHENY,mnorheny@uni.edu,Female,26/04/1998,History,,,2023
115-2373,Ottilie,KRZYSZTOF,okrzysztof@uni.edu,Male,08/10/1997,Gastronomy,Tau Picore,,2022
116-8296,Jeno,BAMPFORTH,jbampforth@uni.edu,Male,12/07/1996,Agronomy,,Football,2024
115-4367,Lavena,BIGHAM,lbigham@uni.edu,Male,09/09/1997,Computer Science,,,2023
115-1226,Elyn,CARLONI,ecarloni@uni.edu,Male,24/06/1998,IT,,Soccer,2024
115-9953,Cele,GIBB,cgibb@uni.edu,Male,19/06/1998,Computer Science,,,2022
112-1771,Muire,ZANICCHELLI,mzanicchelli@uni.edu,Female,12/12/1996,Tourism & Catering,,Soccer,2022
119-7356,Kermy,LINSEY,klinsey@uni.edu,Female,26/12/1996,Finance,,,2022
111-9377,Frederik,ILYIN,filyin@uni.edu,Male,18/09/1996,Physics,,,2024
113-9230,Kerr,HUSON,khuson@uni.edu,Female,23/06/1997,History,,,2023
116-8615,Genovera,HUCKIN,ghuckin@uni.edu,Male,22/12/1997,Computer Science,,,2022
115-1856,Suzanne,MARJOT,smarjot@uni.edu,Male,23/06/1997,IT,,Track & Field,2022
115-7220,Sheffie,PHLIPON,sphlipon@uni.edu,Male,07/11/1998,Mathematics,,,2024
119-4216,Pennie,WAKELEY,pwakeley@uni.edu,Male,28/03/1998,Art & Culture,,,2023
113-2662,Micaela,BUXY,mbuxy@uni.edu,Female,13/05/1996,History,,Rowing,2022
112-8332,Courtnay,BEARE,cbeare@uni.edu,Male,04/03/1997,Architecture,,,2022
113-3375,Issy,SZYMONI,iszymoni@uni.edu,Male,08/01/1996,Journalism,Epsilon,,2022
114-4983,Saba,READHEAD,sreadhead@uni.edu,Female,26/06/1996,Physics,,,2022
116-8595,Chrissie,ROGGERS,croggers@uni.edu,Bigender,08/07/1997,Art & Culture,,,2024
112-2055,Blithe,BATRAM,bbatram@uni.edu,Agender,16/12/1996,Physics,,Gymnastics,2022
118-8028,Gayel,GLOUCESTER,ggloucester@uni.edu,Female,09/02/1997,Psychology,,Rowing,2023
112-9018,Dolley,VLASYEV,dvlasyev@uni.edu,Female,31/01/1998,Architecture,,,2024
117-3651,Raymond,BRISSET,rbrisset@uni.edu,Female,04/06/1996,Tourism & Catering,,,2022
118-7363,Dehlia,EDDINGTON,deddington@uni.edu,Female,24/07/1997,Chemistry,,Hockey,2022
117-8479,Iormina,RRAUNDL,irraundl@uni.edu,Female,23/06/1997,IT,,,2023
115-1189,Ruperto,QUIDDINTON,rquiddinton@uni.edu,Female,27/06/1997,Law,Kappa Xi,,2024
119-6558,Griff,GREED,ggreed@uni.edu,Female,05/11/1996,Business Administration,,,2022
113-1486,Terrel,MUSTARDE,tmustarde@uni.edu,Male,05/02/1996,IT,,,2024
111-5233,Uta,ILYAS,uilyas@uni.edu,Female,02/03/1996,Art & Culture,,,2022
117-8233,Nerty,JZAK,njzak@uni.edu,Male,04/05/1998,Art & Culture,Zeta Omega,Gymnastics,2023
117-4079,Nickie,BRICKET,nbricket@uni.edu,Female,28/06/1997,Litterature & Linguistics,,,2024
118-5061,Pepito,SHELLUM,pshellum@uni.edu,Female,13/07/1996,Psychology,,Hockey,2024
111-6939,Vivian,DE'ATH,vdeath@uni.edu,Male,19/06/1998,Mathematics,,Basketball,2022
116-3904,Tessi,KORNACKI,tkornacki@uni.edu,Male,17/05/1997,Litterature & Linguistics,Beta Mu,,2024
111-8362,Reid,MCKOMB,rmckomb@uni.edu,Female,16/04/1998,Mathematics,,,2024
115-3233,Dill,NARRAWAY,dnarraway@uni.edu,Male,02/11/1997,IT,,,2023
116-4556,Willamina,SENETT,wsenett@uni.edu,Female,28/10/1998,Biotechnology,,,2022
115-7475,Sherye,GOODDIE,sgooddie@uni.edu,Female,25/10/1998,Medicine,,,2022
118-5552,Bob,HINTZER,bhintzer@uni.edu,Male,31/08/1998,Agronomy,,,2022
119-8124,Laurent,BURGOT,lburgot@uni.edu,Female,08/03/1998,Agronomy,,,2023
113-4134,Avery,COMINO,acomino@uni.edu,Male,02/03/1997,Journalism,,,2023
115-8050,Berny,POUNDESFORD,bpoundesford@uni.edu,Female,27/07/1998,Engineering,Nu Phi Lambda,,2024
115-3362,Ruby,BREESE,rbreese@uni.edu,Female,28/02/1998,Gastronomy,Epsilon,,2023
112-7629,Sheffield,SCHOLIG,sscholig@uni.edu,Male,12/12/1997,Mathematics,,,2024
117-8352,Roy,CRUSH,rcrush@uni.edu,Female,29/08/1996,Tourism & Catering,,Soccer,2022
113-3611,Sayers,LEMAR,slemar@uni.edu,Male,17/11/1998,Law,Beta Mu,Football,2022
114-4946,Lotte,GLENNON,lglennon@uni.edu,Female,23/05/1997,Art & Culture,Tau Picore,Gymnastics,2022
114-2482,Dalenna,KENNEDY,dkennedy@uni.edu,Male,22/01/1997,Business Administration,,,2023
114-2755,Tiphani,KROLLMANN,tkrollmann@uni.edu,Female,05/07/1996,Engineering,,,2024
113-9320,Barron,RICKETS,brickets@uni.edu,Female,07/12/1998,Business Administration,,,2023
112-5726,Kim,PHINN,kphinn@uni.edu,Female,08/02/1998,Mathematics,Kappa Xi,,2024
112-1887,Inge,STIT,istit@uni.edu,Female,13/05/1996,Tourism & Catering,,,2022
111-8960,Davide,DABOURNE,ddabourne@uni.edu,Female,14/06/1998,Psychology,,,2022
116-5542,Morey,BILLHAM,mbillham@uni.edu,Female,03/07/1997,Physics,,Soccer,2022
115-8905,Neale,TOMASZEK,ntomaszek@uni.edu,Bigender,13/05/1997,History,,,2022
113-1814,Erda,MARKE,emarke@uni.edu,Genderqueer,19/11/1997,Law,,,2024
113-6998,Randy,SHALE,rshale@uni.edu,Male,17/03/1998,Psychology,,Gymnastics,2024
113-7848,Charla,BOLSTRIDGE,cbolstridge@uni.edu,Female,15/03/1996,Gastronomy,Beta Mu,Volleyball,2023
112-6470,Lexie,ALLSEBROOK,lallsebrook@uni.edu,Female,31/08/1997,Mathematics,,,2023
111-8133,Yoshiko,MEACH,ymeach@uni.edu,Female,27/10/1996,History,,Swimming,2023
117-9652,Hestia,DOMINO,hdomino@uni.edu,Female,21/07/1997,Chemistry,,Cheerleading,2022
111-7048,Janet,BULLOCH,jbulloch@uni.edu,Female,04/07/1998,Art & Culture,,,2023
119-6558,Hanan,FREDI,hfredi@uni.edu,Female,20/10/1998,Tourism & Catering,,,2022
112-1970,Ernesto,DENHOLM,edenholm@uni.edu,Male,24/12/1996,Computer Science,,Basketball,2022
114-5059,Yardley,LEVEY,ylevey@uni.edu,Female,06/12/1996,Architecture,,Soccer,2024
119-1885,Shelden,DASENT,sdasent@uni.edu,Male,11/02/1997,Physics,,,2022
111-7980,Kinny,SLINN,kslinn@uni.edu,Female,17/11/1997,Physics,,,2022
115-5312,Kirby,GOLSTON,kgolston@uni.edu,Male,03/01/1996,Mathematics,,Tennis,2023
117-6918,Mia,BRAZENOR,mbrazenor@uni.edu,Male,25/08/1998,Biotechnology,,,2024
116-3573,Perceval,TERRIS,pterris@uni.edu,Female,07/05/1996,Medicine,,,2022
116-1347,Kassi,MCGILLACOELL,kmcgillacoell@uni.edu,Female,26/02/1998,Psychology,Kappa Xi,Martial Arts,2022
115-9818,Charmane,OAKENFIELD,coakenfield@uni.edu,Female,24/04/1996,Architecture,,,2022
115-7415,Tamarra,COGDON,tcogdon@uni.edu,Male,10/01/1996,Computer Science,,Martial Arts,2023
117-7321,Worthy,INFANTINO,winfantino@uni.edu,Female,04/09/1996,Mathematics,,Tennis,2024
111-9681,Meg,REUCASTLE,mreucastle@uni.edu,Female,19/12/1998,Medicine,,Soccer,2022
119-5640,Stanfield,MEDCALF,smedcalf@uni.edu,Male,04/02/1997,Finance,,,2024
114-4755,Katy,URE,kure@uni.edu,Male,12/07/1997,Physics,,,2023
115-6666,Lisabeth,ADKINS,ladkins@uni.edu,Female,11/11/1997,Art & Culture,,Gymnastics,2023
115-2605,Babbie,WHITEHALL,bwhitehall@uni.edu,Female,18/09/1998,Psychology,,Gymnastics,2023
111-3346,Haywood,PIETERSEN,hpietersen@uni.edu,Female,15/03/1996,Gastronomy,,,2022
114-6323,Obidiah,ALENNIKOV,oalennikov@uni.edu,Male,06/10/1997,Physics,,Gymnastics,2024
116-9012,Holly,KNEAPHSEY,hkneaphsey@uni.edu,Bigender,09/02/1996,Gastronomy,,,2022
118-8200,Gabriellia,RIDER,grider@uni.edu,Male,06/05/1996,Finance,,,2022
115-2320,Christian,CUSKERY,ccuskery@uni.edu,Male,26/11/1996,Engineering,,Basketball,2022
111-7756,Garry,MEIKLEM,gmeiklem@uni.edu,Male,21/11/1997,IT,,,2024
116-9975,Brendan,ORTEGA,bortega@uni.edu,Male,24/06/1998,Gastronomy,,,2023
113-2487,Nettle,TERBRUGGE,nterbrugge@uni.edu,Male,10/09/1996,Business Administration,Pi Gamma Rho,,2023
117-2016,Lauren,NORMAVELL,lnormavell@uni.edu,Female,09/06/1997,Psychology,,Hockey,2023
119-2916,Janessa,TAIT,jtait@uni.edu,Male,13/09/1996,Biotechnology,,,2022
119-3432,Gil,SCURMAN,gscurman@uni.edu,Female,19/09/1998,History,,Hockey,2023
115-5726,Catlin,INKER,cinker@uni.edu,Male,23/01/1998,Biotechnology,,,2022
116-5199,Dall,PIGNON,dpignon@uni.edu,Male,14/11/1997,Law,,Volleyball,2024
117-7089,Lindsay,CROCKLEY,lcrockley@uni.edu,Male,23/06/1997,Litterature & Linguistics,,,2023
113-7960,Winona,DOME,wdome@uni.edu,Female,07/11/1997,Agronomy,,,2024
117-3085,Hannie,CLUBBE,hclubbe@uni.edu,Male,20/08/1998,Law,,,2022
112-3501,Dyanne,BERTHOLIN,dbertholin@uni.edu,Male,20/05/1997,Medicine,,Martial Arts,2022
115-7425,Derick,HILBOURNE,dhilbourne@uni.edu,Male,12/12/1998,Law,,,2023
114-1287,Lonnard,MACMEANMA,lmacmeanma@uni.edu,Male,01/09/1996,Biotechnology,,Rowing,2024
115-1159,Zebedee,EVANGELINOS,zevangelinos@uni.edu,Male,25/06/1996,Computer Science,,,2022
111-7417,Emlen,LANFEAR,elanfear@uni.edu,Agender,22/07/1997,Agronomy,,,2023
112-3569,Clea,GARBUTT,cgarbutt@uni.edu,Male,26/05/1997,Mathematics,,,2023
118-7227,Graehme,SALTMARSH,gsaltmarsh@uni.edu,Male,08/05/1996,Tourism & Catering,,,2024
113-3297,Annie,KINLOCK,akinlock@uni.edu,Female,11/01/1996,Medicine,,,2022
116-8825,Vin,CARLONE,vcarlone@uni.edu,Female,03/03/1998,Architecture,,,2022
115-5929,Tanner,STEPHEN,tstephen@uni.edu,Male,25/01/1998,Engineering,,Rowing,2022
116-4120,Myrtie,LINTHEAD,mlinthead@uni.edu,Female,17/12/1996,Tourism & Catering,Epsilon,,2024
111-2327,Jaime,PATTENDEN,jpattenden@uni.edu,Female,14/10/1997,Agronomy,,,2022
119-4674,Gerri,ELLERINGTON,gellerington@uni.edu,Female,18/06/1996,Litterature & Linguistics,,,2022
118-6206,Eleonora,REVENING,erevening@uni.edu,Male,25/12/1996,Biotechnology,,Swimming,2024
115-6793,Thibaut,BRAMLEY,tbramley@uni.edu,Male,23/03/1998,Mathematics,Zeta Omega,,2024
118-8757,Amerigo,WINTOUR,awintour@uni.edu,Female,07/07/1998,Business Administration,,,2022
118-3559,Verene,SLITE,vslite@uni.edu,Female,09/12/1996,Finance,,,2024
112-7782,Giana,BEAUMENT,gbeaument@uni.edu,Male,11/11/1997,History,,Hockey,2024
112-9732,Mychal,PETHER,mpether@uni.edu,Male,02/09/1997,Law,,,2024
111-4310,Shaylyn,ROOTES,srootes@uni.edu,Male,07/05/1996,History,,,2023
117-8770,Dalis,GLASBEY,dglasbey@uni.edu,Male,10/02/1998,Computer Science,,Hockey,2023
118-6418,Stormie,NYLES,snyles@uni.edu,Male,03/04/1997,Journalism,Zeta Omega,Rowing,2023
118-1408,Eustace,STENBRIDGE,estenbridge@uni.edu,Female,02/11/1996,Gastronomy,,,2022
119-6702,Sauveur,YERRALL,syerrall@uni.edu,Male,10/08/1998,Law,,Martial Arts,2023
113-5823,Jae,GREETLAND,jgreetland@uni.edu,Male,29/03/1997,Finance,,Swimming,2023
112-4608,Fielding,GEBUHR,fgebuhr@uni.edu,Male,30/09/1997,Agronomy,,Track & Field,2023
119-1282,Kermit,POTIER,kpotier@uni.edu,Male,25/05/1998,Litterature & Linguistics,,,2022
119-9314,Petrina,ISAACS,pisaacs@uni.edu,Male,25/10/1998,Gastronomy,,Soccer,2023
111-3297,Niki,WILLIAMSON,nwilliamson@uni.edu,Female,26/11/1996,IT,,Hockey,2023
111-2183,Bowie,LARMET,blarmet@uni.edu,Female,05/11/1997,History,,,2023
113-4592,Jessy,BURGWIN,jburgwin@uni.edu,Female,19/11/1996,Journalism,,Hockey,2024
115-9933,Issi,ELWARD,ielward@uni.edu,Non-binary,02/07/1998,Gastronomy,,,2023
116-5469,Hermie,GILBRIDE,hgilbride@uni.edu,Female,16/06/1996,Business Administration,,,2024
115-7197,Carley,SHELF,cshelf@uni.edu,Female,12/06/1998,Medicine,,,2024
119-2778,Georgina,COOT,gcoot@uni.edu,Female,13/06/1996,Agronomy,,Soccer,2022
118-3185,Zaria,BRICKSTOCK,zbrickstock@uni.edu,Male,16/05/1998,Art & Culture,,,2024
111-6648,Sisile,BOLMANN,sbolmann@uni.edu,Female,28/05/1998,Law,Beta Mu,,2023
119-3094,Gweneth,BRUNNEN,gbrunnen@uni.edu,Male,24/03/1996,Chemistry,,Gymnastics,2022
119-1797,Birgit,KASTING,bkasting@uni.edu,Female,13/08/1997,IT,,Cheerleading,2024
119-8821,Essie,HEARON,ehearon@uni.edu,Male,29/04/1996,Agronomy,,Track & Field,2024
113-6090,Megen,LAMMERICH,mlammerich@uni.edu,Genderfluid,22/01/1998,Architecture,,Tennis,2022
113-7556,Natalina,MCARDLE,nmcardle@uni.edu,Male,01/12/1996,Finance,,,2024
115-5770,Matteo,SIMONONSKY,msimononsky@uni.edu,Female,19/02/1997,Art & Culture,,Hockey,2023
112-2315,Moyna,KABOS,mkabos@uni.edu,Female,30/06/1998,Mathematics,,,2022
115-4255,Deerdre,STORMOUTH,dstormouth@uni.edu,Male,17/04/1996,Tourism & Catering,,,2024
118-3146,Maddy,DYSTER,mdyster@uni.edu,Female,21/01/1996,Litterature & Linguistics,,Gymnastics,2023
116-1532,Kathryne,MADGETT,kmadgett@uni.edu,Male,12/07/1998,IT,,,2024
113-1100,Mord,ANGIER,mangier@uni.edu,Male,06/12/1997,Litterature & Linguistics,,Football,2022
112-8353,Traver,HUTSBY,thutsby@uni.edu,Female,27/10/1997,Art & Culture,,Swimming,2024
113-6724,Clovis,CHRETIEN,cchretien@uni.edu,Female,17/07/1997,History,,,2024
116-6151,Stanislas,PRIDDIS,spriddis@uni.edu,Female,01/11/1996,Agronomy,,,2024
114-5887,Tabina,DOWSING,tdowsing@uni.edu,Male,02/09/1998,Journalism,,,2023
119-3918,Sisely,NAILE,snaile@uni.edu,Male,02/10/1996,Law,,Martial Arts,2024
112-4467,Corri,MOGGIE,cmoggie@uni.edu,Female,27/12/1998,Agronomy,,Track & Field,2022
112-6208,Sheeree,DONNER,sdonner@uni.edu,Female,19/01/1996,Litterature & Linguistics,,Hockey,2022
114-8937,Ricky,COUCHE,rcouche@uni.edu,Male,14/03/1996,Law,,,2024
119-8441,Rowan,RIZZILLO,rrizzillo@uni.edu,Bigender,07/12/1996,Law,,,2022
114-8328,Juline,DOBKIN,jdobkin@uni.edu,Female,28/01/1997,Architecture,,,2023
117-6828,Janenna,MCMANAMAN,jmcmanaman@uni.edu,Male,11/04/1997,Mathematics,,Martial Arts,2022
118-9817,Garald,CROSSKILL,gcrosskill@uni.edu,Female,02/03/1997,Architecture,,,2022
116-2919,Nicol,BENSLEY,nbensley@uni.edu,Male,14/11/1997,Journalism,,,2022
113-9697,Norrie,ISBELL,nisbell@uni.edu,Male,05/06/1997,IT,,,2024
114-8577,Hagan,ROPKES,hropkes@uni.edu,Female,23/03/1998,Medicine,,,2023
116-9351,Amy,SYGROVE,asygrove@uni.edu,Male,28/01/1997,Law,,,2023
114-9271,Honey,CHEAKE,hcheake@uni.edu,Female,08/11/1996,Art & Culture,,,2024
116-1731,Lela,GRASSI,lgrassi@uni.edu,Female,02/07/1998,Architecture,,Cheerleading,2022
114-6852,Pauly,BEAMONT,pbeamont@uni.edu,Female,26/07/1998,Biotechnology,,Rowing,2023
119-5114,Crawford,RAWLINS,crawlins@uni.edu,Polygender,13/06/1996,Agronomy,,Soccer,2022
117-3518,Mackenzie,DEBELL,mdebell@uni.edu,Agender,18/04/1996,Gastronomy,,,2022
117-9431,Sherye,SPADUCCI,sspaducci@uni.edu,Female,03/05/1998,Tourism & Catering,,,2022
116-5078,Joanne,BRANDACCI,jbrandacci@uni.edu,Agender,09/09/1997,Mathematics,,,2022
113-8111,Derward,STIFE,dstife@uni.edu,Female,08/02/1996,Agronomy,,Gymnastics,2023
117-2753,Theodora,DADSON,tdadson@uni.edu,Female,01/04/1998,Law,,,2024
115-3311,Jervis,VONDRACH,jvondrach@uni.edu,Male,27/04/1998,Mathematics,,Soccer,2024
113-2808,Harli,POPPLESTON,hpoppleston@uni.edu,Female,09/07/1996,Computer Science,Beta Mu,Tennis,2023
111-8095,Jo-anne,BLAKENEY,jblakeney@uni.edu,Male,31/12/1998,Computer Science,,Martial Arts,2023
112-9432,Henrik,COLVIN,hcolvin@uni.edu,Female,12/06/1996,Finance,,,2022
118-5108,Cassandre,GOLSTON,cgolston@uni.edu,Non-binary,13/02/1998,Tourism & Catering,,Football,2023
115-3243,Simonne,VAN OORD,svanoord@uni.edu,Male,17/06/1998,Architecture,,,2024
111-3355,Josephina,MCVRONE,jmcvrone@uni.edu,Female,14/01/1996,Biotechnology,,,2024
112-2024,Karol,FRANCESCOCCIO,kfrancescoccio@uni.edu,Female,22/08/1997,Mathematics,Beta Mu,Hockey,2022
119-9035,Korie,ROLLER,kroller@uni.edu,Female,20/03/1996,Psychology,,,2023
113-2815,Aurore,LOINES,aloines@uni.edu,Male,18/07/1997,IT,,Football,2024
117-9406,Ivett,GERAM,igeram@uni.edu,Male,08/09/1997,Gastronomy,,,2024
116-4199,Orelle,FERNAO,ofernao@uni.edu,Male,20/07/1997,Biotechnology,,Basketball,2022
113-9028,North,AULDS,naulds@uni.edu,Male,26/04/1997,Tourism & Catering,Beta Mu,,2023
115-1909,Neill,STOLLSTEINER,nstollsteiner@uni.edu,Male,30/12/1998,Art & Culture,,Rowing,2022
114-1179,Estele,KIRKBRIGHT,ekirkbright@uni.edu,Non-binary,31/05/1998,Business Administration,,,2022
111-1953,Shane,TOMASELLI,stomaselli@uni.edu,Female,15/09/1998,Psychology,,,2022
112-4958,Alfy,HULLOCK,ahullock@uni.edu,Male,22/10/1997,Mathematics,Tau Picore,,2022
118-8162,Constancia,SAIGER,csaiger@uni.edu,Male,10/03/1996,Mathematics,,,2023
112-9370,Sada,WALBURN,swalburn@uni.edu,Female,14/03/1997,Finance,,,2022
115-5115,Laetitia,KEENE,lkeene@uni.edu,Genderfluid,10/04/1998,Journalism,,,2023
111-7902,Kevyn,MAIDEN,kmaiden@uni.edu,Female,01/08/1996,Chemistry,,,2022
117-8886,Major,DASH,mdash@uni.edu,Male,10/02/1997,Computer Science,,,2022
112-7108,Ileane,BEAGLEY,ibeagley@uni.edu,Male,12/11/1996,Psychology,,,2022
113-3351,Milt,NARE,mnare@uni.edu,Male,09/01/1997,Computer Science,,Rowing,2022
117-1773,Analiese,COAD,acoad@uni.edu,Female,21/08/1998,Biotechnology,,,2023
117-3661,Owen,OGLETHORPE,ooglethorpe@uni.edu,Female,24/02/1998,History,,Cheerleading,2022
116-1342,Whitaker,BERRESFORD,wberresford@uni.edu,Male,26/02/1998,Medicine,,,2022
111-2761,Marie,LERNIHAN,mlernihan@uni.edu,Male,07/03/1997,Mathematics,,,2023
115-1530,Kareem,TRASK,ktrask@uni.edu,Genderqueer,29/04/1996,Law,Nu Phi Lambda,,2024
